document_number,raw_text_url,president,publication_date,title,topics
 94-290,https://www.federalregister.gov/documents/full_text/text/1994/01/05/94-290.txt,identifier; william-j-clinton; name; William J. Clinton,01/05/1994,Amendment to Executive Order No. 12864,""
 94-32388,https://www.federalregister.gov/documents/full_text/text/1995/01/03/94-32388.txt,identifier; william-j-clinton; name; William J. Clinton,01/03/1995,Adjustments of Certain Rates of Pay and Allowances,""
 95-1877,https://www.federalregister.gov/documents/full_text/text/1995/01/24/95-1877.txt,identifier; william-j-clinton; name; William J. Clinton,01/24/1995,Amendment to Executive Order No. 12640,""
 95-1925,https://www.federalregister.gov/documents/full_text/text/1995/01/24/95-1925.txt,identifier; william-j-clinton; name; William J. Clinton,01/24/1995,President's Advisory Board on Arms Proliferation Policy,""
 X95-110125,https://www.federalregister.gov/documents/full_text/text/1995/01/25/X95-110125.txt,identifier; william-j-clinton; name; William J. Clinton,01/25/1995,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process,""
 95-2687,https://www.federalregister.gov/documents/full_text/text/1995/02/01/95-2687.txt,identifier; william-j-clinton; name; William J. Clinton,02/01/1995,Amendment to Executive Order No. 12898,""
 95-3671,https://www.federalregister.gov/documents/full_text/text/1995/02/13/95-3671.txt,identifier; william-j-clinton; name; William J. Clinton,02/13/1995,Foreign Intelligence Physical Searches,""
 95-4908,https://www.federalregister.gov/documents/full_text/text/1995/02/27/95-4908.txt,identifier; william-j-clinton; name; William J. Clinton,02/27/1995,Establishing an Emergency Board To Investigate a Dispute Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations,""
 95-5050,https://www.federalregister.gov/documents/full_text/text/1995/02/28/95-5050.txt,identifier; william-j-clinton; name; William J. Clinton,02/28/1995,Release of Imagery Acquired by Space-Based National Intelligence Reconnaissance Systems,""
 95-5129,https://www.federalregister.gov/documents/full_text/text/1995/02/28/95-5129.txt,identifier; william-j-clinton; name; William J. Clinton,02/28/1995,Amendment to Executive Order No. 12950,""
 95-5146,https://www.federalregister.gov/documents/full_text/text/1995/02/28/95-5146.txt,identifier; william-j-clinton; name; William J. Clinton,02/28/1995,Actions Required of all Executive Agencies To Facilitate Payment of Child Support,""
 95-6121,https://www.federalregister.gov/documents/full_text/text/1995/03/10/95-6121.txt,identifier; william-j-clinton; name; William J. Clinton,03/10/1995,Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts,""
 95-6211,https://www.federalregister.gov/documents/full_text/text/1995/03/10/95-6211.txt,identifier; william-j-clinton; name; William J. Clinton,03/10/1995,Nuclear Cooperation With EURATOM,""
 95-6588,https://www.federalregister.gov/documents/full_text/text/1995/03/15/95-6588.txt,identifier; william-j-clinton; name; William J. Clinton,03/15/1995,"Executive Order 12956 of March 13, 1995",""
 95-6849,https://www.federalregister.gov/documents/full_text/text/1995/03/17/95-6849.txt,identifier; william-j-clinton; name; William J. Clinton,03/17/1995,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources,""
 95-9941,https://www.federalregister.gov/documents/full_text/text/1995/04/20/95-9941.txt,identifier; william-j-clinton; name; William J. Clinton,04/20/1995,Classified National Security Information,""
 95-11694,https://www.federalregister.gov/documents/full_text/text/1995/05/09/95-11694.txt,identifier; william-j-clinton; name; William J. Clinton,05/09/1995,Prohibiting Certain Transactions With Respect to Iran,""
 95-12285,https://www.federalregister.gov/documents/full_text/text/1995/05/17/95-12285.txt,identifier; william-j-clinton; name; William J. Clinton,05/17/1995,"Amendments to the Manual for Courts-Martial, United States, 1984",""
 95-13484,https://www.federalregister.gov/documents/full_text/text/1995/05/31/95-13484.txt,identifier; william-j-clinton; name; William J. Clinton,05/31/1995,Presidential Advisory Committee on Gulf War Veterans' Illnesses,""
 95-14407,https://www.federalregister.gov/documents/full_text/text/1995/06/09/95-14407.txt,identifier; william-j-clinton; name; William J. Clinton,06/09/1995,Recreational Fisheries,""
 95-14983,https://www.federalregister.gov/documents/full_text/text/1995/06/16/95-14983.txt,identifier; william-j-clinton; name; William J. Clinton,06/16/1995,Presidential Advisory Council on HIV/AIDS,""
